country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.235,0.235,0.246,0.258,0.269,0.28,0.292,0.304,0.317,0.329,0.342,0.355,0.367,0.381,0.394,0.407,0.421,0.434
Albania,0.883,0.891,0.899,0.907,0.914,0.922,0.929,0.936,0.943,0.949,0.956,0.962,0.968,0.973,0.977,0.977,0.977,0.977
Algeria,0.837,0.841,0.844,0.847,0.85,0.853,0.856,0.858,0.861,0.863,0.866,0.868,0.87,0.872,0.873,0.875,0.875,0.876
Andorra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,0.276,0.29,0.304,0.319,0.333,0.347,0.36,0.373,0.385,0.398,0.411,0.423,0.436,0.449,0.461,0.474,0.486,0.499
Antigua and Barbuda,0.824,0.828,0.832,0.836,0.84,0.844,0.848,0.852,0.855,0.859,0.863,0.867,0.871,0.875,0.875,0.875,0.875,0.875
Argentina,0.87,0.875,0.881,0.887,0.892,0.898,0.904,0.909,0.915,0.921,0.926,0.932,0.937,0.942,0.942,0.942,0.943,
Armenia,0.869,0.873,0.877,0.881,0.885,0.889,0.893,0.897,0.901,0.905,0.91,0.914,0.918,0.922,0.926,0.931,0.934,0.936
Australia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Austria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,0.632,0.648,0.664,0.679,0.695,0.716,0.738,0.759,0.781,0.803,0.825,0.848,0.87,0.893,0.909,0.925,0.925,0.925
Bahamas,0.876,0.881,0.886,0.892,0.897,0.902,0.907,0.913,0.918,0.923,0.928,0.934,0.939,0.942,0.946,0.949,0.949,0.949
Bahrain,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,1,1,1,1,1,1,1,1,1,1
Bangladesh,0.256,0.27,0.283,0.297,0.31,0.324,0.338,0.351,0.365,0.379,0.392,0.405,0.419,0.432,0.445,0.457,0.47,0.482
Barbados,0.889,0.894,0.899,0.904,0.909,0.914,0.919,0.924,0.929,0.934,0.939,0.944,0.949,0.954,0.959,0.964,0.969,0.973
Belarus,0.917,0.916,0.916,0.916,0.921,0.926,0.932,0.937,0.943,0.948,0.954,0.96,0.966,0.972,0.978,0.978,0.978,0.978
Belgium,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
Belize,0.824,0.828,0.831,0.834,0.837,0.841,0.844,0.847,0.85,0.853,0.856,0.859,0.863,0.866,0.869,0.872,0.875,0.879
Benin,0.086,0.09,0.0942,0.0987,0.103,0.108,0.113,0.118,0.123,0.128,0.134,0.139,0.145,0.151,0.157,0.16,0.164,0.165
Bhutan,0.498,0.501,0.516,0.531,0.545,0.559,0.571,0.583,0.596,0.607,0.619,0.63,0.641,0.652,0.663,0.673,0.683,0.693
Bolivia,0.345,0.356,0.367,0.378,0.388,0.399,0.409,0.426,0.443,0.46,0.478,0.496,0.514,0.532,0.55,0.569,0.588,0.607
Bosnia and Herzegovina,0.951,0.951,0.951,0.951,0.951,0.951,0.952,0.952,0.952,0.952,0.952,0.952,0.953,0.953,0.953,0.953,0.953,0.954
Botswana,0.519,0.533,0.546,0.559,0.572,0.585,0.599,0.616,0.633,0.651,0.668,0.686,0.701,0.717,0.732,0.748,0.76,0.773
Brazil,0.729,0.738,0.748,0.757,0.766,0.776,0.785,0.794,0.803,0.812,0.821,0.83,0.839,0.848,0.857,0.866,0.874,0.883
Brunei,,,,,,,,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,,
Bulgaria,0.858,0.858,0.858,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.86,0.86,0.86,0.86,0.86,0.86
Burkina Faso,0.113,0.116,0.123,0.131,0.137,0.144,0.151,0.156,0.161,0.165,0.17,0.174,0.178,0.182,0.185,0.188,0.191,0.194
Burundi,0.452,0.454,0.456,0.458,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.458
Cambodia,0.0996,0.126,0.152,0.179,0.206,0.234,0.262,0.29,0.318,0.348,0.378,0.409,0.439,0.471,0.502,0.534,0.566,0.592
Cameroon,0.4,0.399,0.398,0.397,0.396,0.394,0.393,0.393,0.392,0.391,0.39,0.39,0.389,0.389,0.389,0.389,0.388,0.391
