country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,19.4,,,,,19.2,,,,,18.8,,,,,18.4,,,,,17.9,,,,,17.3,,,,,16.9,,,,,16.2,,,,,15.8,,,,,16,,,,,15.5,,,,,16,,,,,15.9,,,,,17.2,,,,,18.4,,,,,19.9,,,,,21.5,,,,,23.2,,,,,24.9,,,,,26.6,,,,,28.4,,,,,30.2,,,,,32,,,,,33.8,,,,,35.5,,,,,37.1,,,,,38.6,,,,,40,,,,,41.2,,,,,42.3,,,,,43.4
Albania,21.2,,,,,20.6,,,,,20.2,,,,,19.7,,,,,19.6,,,,,20.2,,,,,21.4,,,,,22.8,,,,,24,,,,,24.6,,,,,27,,,,,29.1,,,,,32.2,,,,,34.9,,,,,36.4,,,,,38.4,,,,,40.7,,,,,43.2,,,,,45.7,,,,,47.9,,,,,50,,,,,51.6,,,,,53,,,,,54.3,,,,,55.8,,,,,57.3,,,,,58.6,,,,,59.8,,,,,60.5,,,,,60.9,,,,,61.5
Algeria,19.4,,,,,18.5,,,,,17.8,,,,,16.6,,,,,16.4,,,,,16.5,,,,,16.7,,,,,17.1,,,,,18,,,,,19.4,,,,,21.7,,,,,24.1,,,,,26,,,,,27.5,,,,,28.5,,,,,29.6,,,,,30.3,,,,,30.8,,,,,32,,,,,33.4,,,,,34.9,,,,,36.7,,,,,38.2,,,,,39.6,,,,,40.5,,,,,41.1,,,,,41.7,,,,,42.6,,,,,43.6,,,,,44.8,,,,,45.8
Angola,19.8,,,,,19.6,,,,,20.2,,,,,18.4,,,,,17.6,,,,,16.9,,,,,16.8,,,,,16.3,,,,,16.1,,,,,16.1,,,,,16.3,,,,,16.4,,,,,16.4,,,,,16.4,,,,,16.7,,,,,17.2,,,,,17.9,,,,,18.6,,,,,19.2,,,,,19.9,,,,,20.7,,,,,21.6,,,,,22.4,,,,,23.3,,,,,24.2,,,,,25,,,,,25.9,,,,,26.8,,,,,27.7,,,,,28.6,,,,,29.5
Antigua and Barbuda,19.2,,,,,18.8,,,,,18.5,,,,,17.8,,,,,17.4,,,,,19,,,,,21,,,,,23.1,,,,,25.2,,,,,26.5,,,,,28.1,,,,,29.5,,,,,31.1,,,,,32.6,,,,,34,,,,,35.4,,,,,36.9,,,,,38.3,,,,,39.7,,,,,40.6,,,,,41.3,,,,,42,,,,,42.9,,,,,43.7,,,,,44.5,,,,,45.1,,,,,45.6,,,,,46.1,,,,,46.6,,,,,47.1,,,,,47.6
Argentina,25.4,,,,,26,,,,,26.6,,,,,26.9,,,,,27.1,,,,,27.2,,,,,27.2,,,,,27.1,,,,,27,,,,,27.1,,,,,27.6,,,,,28.5,,,,,29.6,,,,,30.5,,,,,31.5,,,,,32.7,,,,,33.8,,,,,34.9,,,,,36,,,,,37.1,,,,,38.2,,,,,39.3,,,,,40.4,,,,,41.4,,,,,42.4,,,,,43.3,,,,,44.1,,,,,44.8,,,,,45.5,,,,,46.1,,,,,46.7
Armenia,22.4,,,,,22.7,,,,,22.4,,,,,20.6,,,,,20.3,,,,,21.8,,,,,23.5,,,,,25.3,,,,,27.2,,,,,29.4,,,,,30.6,,,,,31.8,,,,,32.9,,,,,33.8,,,,,35.4,,,,,37.5,,,,,39.8,,,,,41.7,,,,,42.8,,,,,43,,,,,43.2,,,,,44.1,,,,,45.4,,,,,46.6,,,,,47.4,,,,,47.5,,,,,47.2,,,,,47.1,,,,,47.5,,,,,48.2,,,,,48.9
Australia,30.4,,,,,30.2,,,,,29.6,,,,,28.3,,,,,27.4,,,,,28.1,,,,,29.3,,,,,30.7,,,,,32.1,,,,,33.6,,,,,35.4,,,,,36.5,,,,,36.8,,,,,37.2,,,,,37.9,,,,,38.9,,,,,40,,,,,40.8,,,,,41.3,,,,,41.5,,,,,41.8,,,,,42.2,,,,,42.8,,,,,43.3,,,,,43.8,,,,,44.1,,,,,44.3,,,,,44.5,,,,,44.8,,,,,45.2,,,,,45.6
Austria,35.7,,,,,35.1,,,,,35.4,,,,,34.7,,,,,33.6,,,,,33.9,,,,,35,,,,,35.8,,,,,36.5,,,,,36.3,,,,,38.2,,,,,40,,,,,41.9,,,,,43.2,,,,,43.5,,,,,44.3,,,,,45.5,,,,,46.7,,,,,48,,,,,49,,,,,49.3,,,,,49.1,,,,,48.7,,,,,48.4,,,,,48.6,,,,,48.7,,,,,48.8,,,,,48.6,,,,,48.4,,,,,48.3,,,,,48.5
Azerbaijan,21.7,,,,,22.1,,,,,22,,,,,19.1,,,,,18.2,,,,,19.1,,,,,20.9,,,,,22.8,,,,,24.1,,,,,24.6,,,,,25.6,,,,,27.1,,,,,28.7,,,,,30.3,,,,,32.3,,,,,34.6,,,,,36.8,,,,,38.5,,,,,39.3,,,,,39.6,,,,,40.3,,,,,41.7,,,,,43.1,,,,,44.3,,,,,44.9,,,,,45.1,,,,,45.4,,,,,46,,,,,46.6,,,,,47.1,,,,,47.4
